SSN,Name,Rank
D1017,정수호,부장
D1018,노자훈,차장
D1019,최인순,사원
D1020,김성준,사원
D1024,최시은,과장
D1025,고현수,과장
D1028,유정석,대리
D1029,강한남,대리
D1031,정나리,사원
D1032,이만해,사원
G1013,김영보,부장
G1014,최승옥,차장
G1023,이영민,과장
G1024,윤다연,과장
G1035,김초롱,사원
G1036,윤명애,사원
H1015,박경철,차장
H1017,한상민,사원
H1020,김신협,부장
H1021,송지나,과장
H1034,문정수,사원
H1035,서민형,사원
M1014,강순영,부장
M1016,이채원,사원
M1022,최정순,과장
M1023,이승현,과장
M1025,민형진,대리
M1026,오유나,대리
M1027,하수영,대리
M1028,장성희,대리
M1032,유소현,사원
M1033,김영훈,사원
M1036,정영숙,사원
M1037,이남주,사원
P1012,박종호,상무
P1013,정준석,대리
P1016,김성민,부장
P1017,김선주,사원
P1021,김원숙,과장
P1023,권우진,과장
P1026,신이현,대리
P1027,윤영자,사원
S1011,송영호,상무
S1012,신은균,사원
S1017,이상호,부장
S1018,한영우,사원
S1027,이혜원,대리
S1029,조아라,대리
S1030,박철민,사원
S1031,박준희,사원
S1032,조시현,사원
S1033,조민성,사원
